Date,Time,PM2.5,Status
2021-01-09,01:00:00,21.557,V ugm-3 (Ref.eq)
2021-01-09,02:00:00,17.76,V ugm-3 (Ref.eq)
2021-01-09,03:00:00,15.637,V ugm-3 (Ref.eq)
2021-01-09,04:00:00,19.528,V ugm-3 (Ref.eq)
2021-01-09,05:00:00,21.793,V ugm-3 (Ref.eq)
2021-01-09,06:00:00,18.184,V ugm-3 (Ref.eq)
2021-01-09,07:00:00,20.425,V ugm-3 (Ref.eq)
2021-01-09,08:00:00,20.566,V ugm-3 (Ref.eq)
2021-01-09,09:00:00,22.146,V ugm-3 (Ref.eq)
2021-01-09,10:00:00,28.986,V ugm-3 (Ref.eq)
2021-01-09,11:00:00,28.349,V ugm-3 (Ref.eq)
2021-01-09,12:00:00,26.651,V ugm-3 (Ref.eq)
2021-01-09,13:00:00,25.071,V ugm-3 (Ref.eq)
2021-01-09,14:00:00,27.689,V ugm-3 (Ref.eq)
2021-01-09,15:00:00,23.373,V ugm-3 (Ref.eq)
2021-01-09,16:00:00,17.618,V ugm-3 (Ref.eq)
2021-01-09,17:00:00,16.415,V ugm-3 (Ref.eq)
2021-01-09,18:00:00,15.0,V ugm-3 (Ref.eq)
2021-01-09,19:00:00,15.778,V ugm-3 (Ref.eq)
2021-01-09,20:00:00,20.425,V ugm-3 (Ref.eq)
2021-01-09,21:00:00,19.316,V ugm-3 (Ref.eq)
2021-01-09,22:00:00,18.797,V ugm-3 (Ref.eq)
2021-01-09,23:00:00,22.288,V ugm-3 (Ref.eq)
2021-01-09,24:00:00,23.184,V ugm-3 (Ref.eq)
2021-01-10,01:00:00,19.057,V ugm-3 (Ref.eq)
2021-01-10,02:00:00,14.859,V ugm-3 (Ref.eq)
2021-01-10,03:00:00,13.538,V ugm-3 (Ref.eq)
2021-01-10,04:00:00,12.665,V ugm-3 (Ref.eq)
2021-01-10,05:00:00,12.241,V ugm-3 (Ref.eq)
2021-01-10,06:00:00,12.005,V ugm-3 (Ref.eq)
2021-01-10,07:00:00,10.943,V ugm-3 (Ref.eq)
2021-01-10,08:00:00,10.071,V ugm-3 (Ref.eq)
2021-01-10,09:00:00,9.67,V ugm-3 (Ref.eq)
2021-01-10,10:00:00,9.811,V ugm-3 (Ref.eq)
2021-01-10,11:00:00,8.797,V ugm-3 (Ref.eq)
2021-01-10,12:00:00,8.443,V ugm-3 (Ref.eq)
2021-01-10,13:00:00,8.561,V ugm-3 (Ref.eq)
2021-01-10,14:00:00,9.835,V ugm-3 (Ref.eq)
2021-01-10,15:00:00,10.307,V ugm-3 (Ref.eq)
2021-01-10,16:00:00,13.019,V ugm-3 (Ref.eq)
2021-01-10,17:00:00,13.986,V ugm-3 (Ref.eq)
2021-01-10,18:00:00,16.226,V ugm-3 (Ref.eq)
2021-01-10,19:00:00,17.453,V ugm-3 (Ref.eq)
2021-01-10,20:00:00,15.802,V ugm-3 (Ref.eq)
2021-01-10,21:00:00,7.241,V ugm-3 (Ref.eq)
2021-01-10,22:00:00,5.118,V ugm-3 (Ref.eq)
2021-01-10,23:00:00,3.679,V ugm-3 (Ref.eq)
2021-01-10,24:00:00,4.41,V ugm-3 (Ref.eq)
2021-01-11,01:00:00,4.646,V ugm-3 (Ref.eq)
2021-01-11,02:00:00,3.538,V ugm-3 (Ref.eq)
2021-01-11,03:00:00,2.689,V ugm-3 (Ref.eq)
2021-01-11,04:00:00,2.665,V ugm-3 (Ref.eq)
2021-01-11,05:00:00,2.948,V ugm-3 (Ref.eq)
2021-01-11,06:00:00,3.797,V ugm-3 (Ref.eq)
2021-01-11,07:00:00,4.057,V ugm-3 (Ref.eq)
2021-01-11,08:00:00,3.939,V ugm-3 (Ref.eq)
2021-01-11,09:00:00,3.443,V ugm-3 (Ref.eq)
2021-01-11,10:00:00,3.703,V ugm-3 (Ref.eq)
2021-01-11,11:00:00,11.769,V ugm-3 (Ref.eq)
2021-01-11,12:00:00,4.528,V ugm-3 (Ref.eq)
2021-01-11,13:00:00,3.561,V ugm-3 (Ref.eq)
2021-01-11,14:00:00,5.802,V ugm-3 (Ref.eq)
2021-01-11,15:00:00,2.5,V ugm-3 (Ref.eq)
2021-01-11,16:00:00,1.934,V ugm-3 (Ref.eq)
2021-01-11,17:00:00,1.604,V ugm-3 (Ref.eq)
2021-01-11,18:00:00,1.274,V ugm-3 (Ref.eq)
2021-01-11,19:00:00,1.321,V ugm-3 (Ref.eq)
