Date,Time,PM2.5,Status
2016-01-11,01:00:00,10.5,V ugm-3 (TEOM FDMS)
2016-01-11,02:00:00,0.3,V ugm-3 (TEOM FDMS)
2016-01-11,03:00:00,-0.3,V ugm-3 (TEOM FDMS)
2016-01-11,04:00:00,1.5,V ugm-3 (TEOM FDMS)
2016-01-11,05:00:00,5.6,V ugm-3 (TEOM FDMS)
2016-01-11,06:00:00,0.9,V ugm-3 (TEOM FDMS)
2016-01-11,07:00:00,2.4,V ugm-3 (TEOM FDMS)
2016-01-11,08:00:00,3.4,V ugm-3 (TEOM FDMS)
2016-01-11,09:00:00,5.1,V ugm-3 (TEOM FDMS)
2016-01-11,10:00:00,4.8,V ugm-3 (TEOM FDMS)
2016-01-11,11:00:00,4.0,V ugm-3 (TEOM FDMS)
2016-01-11,12:00:00,5.0,V ugm-3 (TEOM FDMS)
2016-01-11,13:00:00,5.6,V ugm-3 (TEOM FDMS)
2016-01-11,14:00:00,6.1,V ugm-3 (TEOM FDMS)
2016-01-11,15:00:00,7.4,V ugm-3 (TEOM FDMS)
2016-01-11,16:00:00,8.2,V ugm-3 (TEOM FDMS)
2016-01-11,17:00:00,6.3,V ugm-3 (TEOM FDMS)
2016-01-11,18:00:00,8.8,V ugm-3 (TEOM FDMS)
2016-01-11,19:00:00,8.8,V ugm-3 (TEOM FDMS)
2016-01-11,20:00:00,12.0,V ugm-3 (TEOM FDMS)
2016-01-11,21:00:00,10.2,V ugm-3 (TEOM FDMS)
2016-01-11,22:00:00,16.1,V ugm-3 (TEOM FDMS)
2016-01-11,23:00:00,12.8,V ugm-3 (TEOM FDMS)
2016-01-11,24:00:00,14.8,V ugm-3 (TEOM FDMS)
2016-01-12,01:00:00,12.7,V ugm-3 (TEOM FDMS)
2016-01-12,02:00:00,8.0,V ugm-3 (TEOM FDMS)
2016-01-12,03:00:00,6.8,V ugm-3 (TEOM FDMS)
2016-01-12,04:00:00,5.1,V ugm-3 (TEOM FDMS)
2016-01-12,05:00:00,4.9,V ugm-3 (TEOM FDMS)
2016-01-12,06:00:00,4.7,V ugm-3 (TEOM FDMS)
2016-01-12,07:00:00,4.3,V ugm-3 (TEOM FDMS)
2016-01-12,08:00:00,6.4,V ugm-3 (TEOM FDMS)
2016-01-12,09:00:00,6.0,V ugm-3 (TEOM FDMS)
2016-01-12,10:00:00,5.4,V ugm-3 (TEOM FDMS)
2016-01-12,11:00:00,7.5,V ugm-3 (TEOM FDMS)
2016-01-12,12:00:00,5.0,V ugm-3 (TEOM FDMS)
2016-01-12,13:00:00,6.2,V ugm-3 (TEOM FDMS)
2016-01-12,14:00:00,4.8,V ugm-3 (TEOM FDMS)
2016-01-12,15:00:00,3.3,V ugm-3 (TEOM FDMS)
2016-01-12,16:00:00,2.4,V ugm-3 (TEOM FDMS)
2016-01-12,17:00:00,3.6,V ugm-3 (TEOM FDMS)
2016-01-12,18:00:00,3.7,V ugm-3 (TEOM FDMS)
2016-01-12,19:00:00,3.3,V ugm-3 (TEOM FDMS)
2016-01-12,20:00:00,4.7,V ugm-3 (TEOM FDMS)
2016-01-12,21:00:00,2.0,V ugm-3 (TEOM FDMS)
2016-01-12,22:00:00,2.5,V ugm-3 (TEOM FDMS)
2016-01-12,23:00:00,0.2,V ugm-3 (TEOM FDMS)
2016-01-12,24:00:00,3.5,V ugm-3 (TEOM FDMS)
2016-01-13,01:00:00,2.8,V ugm-3 (TEOM FDMS)
2016-01-13,02:00:00,3.5,V ugm-3 (TEOM FDMS)
