horizon,mean_diff,ci_low,ci_high,station_id,seed
1,-1.5071519632451795,-1.672679050028711,-1.3526286271733017,CHB,0
6,-0.0851644825439659,-0.11620019543423449,-0.05317060478555529,CHB,0
12,-0.04352088051464337,-0.08070114087390187,-0.006544220943076442,CHB,0
24,-0.0648854723537937,-0.12372654304679898,-0.009202364835925991,CHB,0
48,-0.06164699831310698,-0.12635169874376606,0.0037811810538534527,CHB,0
1,-1.2576266957964224,-1.4093891734159658,-1.1133705808241592,CHB,1
6,-0.07406284491493945,-0.10839155096234733,-0.04011419234908854,CHB,1
12,-0.08952112463812471,-0.12804907906253674,-0.052042580970967915,CHB,1
24,-0.04088165206415881,-0.09122126775630127,0.009720129510717794,CHB,1
48,-0.07906548812933116,-0.14496222626017513,-0.018522946074994485,CHB,1
1,-1.455423804743389,-1.5937461854833683,-1.3209362347377327,CHB,2
6,-0.06880731806660915,-0.10001565471618343,-0.03932761965669575,CHB,2
12,-0.05241570778721798,-0.09130922131237153,-0.017460779035850207,CHB,2
24,-0.02246785377924374,-0.06751976120451342,0.022836871375198468,CHB,2
48,-0.09729326164120254,-0.15751702164007453,-0.035340846046603855,CHB,2
1,-1.1508514178601523,-1.280225398793188,-1.025688176453741,CHB,3
6,-0.03336186444199922,-0.0645332983445874,-0.003363237213734743,CHB,3
12,-0.07177282159269559,-0.10677531170861261,-0.03965336020819973,CHB,3
24,-0.10576093481061925,-0.17432047141334805,-0.035501207029196534,CHB,3
48,-0.06427834749027611,-0.12109874524828548,-0.008717346476085502,CHB,3
1,-1.4991780059037207,-1.6502164128722983,-1.3523537311004268,CHB,4
6,-0.10244970372979358,-0.13744838803876502,-0.06865055898487231,CHB,4
12,-0.03516400023978904,-0.06617781626259034,-0.003155054153621702,CHB,4
24,-0.027540564771192124,-0.06956722822019942,0.01681024513522665,CHB,4
48,0.015576337554172703,-0.03262003326773537,0.06534227342712139,CHB,4
1,-1.804422706839659,-1.9924009459465906,-1.6043860221709978,KC1,0
6,-0.27879201431586,-0.33997511111883005,-0.2116775591304741,KC1,0
12,-0.15055953301793598,-0.20581070800423748,-0.09400090686818285,KC1,0
24,-0.15849860558985412,-0.22771598971609183,-0.0878642695935401,KC1,0
48,-0.11316948369063135,-0.18709424171498565,-0.04195990070849821,KC1,0
1,-1.5795188085491922,-1.803696808308679,-1.3400816520274381,KC1,1
6,-0.31060373442283684,-0.38842463870916794,-0.2396219864798863,KC1,1
12,-0.1569521072521537,-0.21951005262386028,-0.10289752615603823,KC1,1
24,-0.1181985707317408,-0.17433751406647122,-0.05974895745394059,KC1,1
48,-0.15453255591048523,-0.2280016501811233,-0.08317678961295633,KC1,1
1,-1.7905332265668703,-2.0521750831109378,-1.5627491345056546,KC1,2
6,-0.26364863362086205,-0.4032315177000866,-0.12829332030295262,KC1,2
12,-0.11937928123111664,-0.1812128887137457,-0.06069122100072742,KC1,2
24,-0.17168943812915813,-0.2498924060387864,-0.09335745855559151,KC1,2
48,-0.23926793372286176,-0.32675922966897597,-0.15178234139589955,KC1,2
1,-1.725517748675774,-1.957146701550494,-1.514427691505065,KC1,3
6,-0.2798149798994814,-0.34878741381422446,-0.2066712420653978,KC1,3
12,-0.14292458466240057,-0.20080013383256126,-0.09390295898013716,KC1,3
24,-0.04057612206607978,-0.10393311649395177,0.02267560645825252,KC1,3
48,0.01056365984624916,-0.05809429363524342,0.07418445990088944,KC1,3
1,-2.0014179776712777,-2.2289743356252147,-1.7661056566628845,KC1,4
6,-0.38533166246897094,-0.5027438807106236,-0.2677345663652716,KC1,4
12,-0.05589807823444636,-0.11643381162288975,0.0011907996710301086,KC1,4
24,-0.12721709455207417,-0.20121197159301948,-0.05454701186390201,KC1,4
48,-0.059538409763499896,-0.13427324464190227,0.016359586497936472,KC1,4
