,,,,,MAE,MAE,RMSE,RMSE,sMAPE,sMAPE,R2,R2
,,,,,mean,std,mean,std,mean,std,mean,std
station_id,station_name,site_type,model,horizon,,,,,,,,
CHB,Chilbolton,Rural Background,xgboost,6,2.6666734597672423,0.007231413780142355,4.142565922958523,0.018997255940045154,39.23015582608518,0.10611350852475944,0.5681699521221418,0.003953915503279664
CHB,Chilbolton,Rural Background,xgboost,12,3.2141874163327024,0.016123690640039327,4.9511821086093795,0.013175897342054457,45.19772316890715,0.22567360931870603,0.38315608188007405,0.003284181412384807
CHB,Chilbolton,Rural Background,xgboost,24,3.646839566779383,0.01407562344949904,5.535514166133128,0.013434515711716801,50.12000973730055,0.18558958683816246,0.22917995301574975,0.003742699164746089
CHB,Chilbolton,Rural Background,xgboost,48,4.109102451643097,0.02525375076686868,6.011630117031528,0.03303799646012544,55.05926399714716,0.23559053697908308,0.09171204680288281,0.009981584493906128
HP1,London Honor Oak Park,Urban Background,dlinear,1,0.8569959499620559,0.037598997525120526,1.3635942981633238,0.03210798093501206,14.558329948052005,1.0084184744166433,0.9572168795705582,0.002041232726327552
HP1,London Honor Oak Park,Urban Background,dlinear,6,2.554509819621668,0.017588874762834942,3.990740738215031,0.015159132731933705,36.30326282159861,0.28519572980819646,0.6309855327738187,0.0028029740574870552
HP1,London Honor Oak Park,Urban Background,dlinear,12,3.113286491464051,0.020282662988062652,4.915332603488968,0.015212880257382351,42.305704967539576,0.46050371218320085,0.43238562008200504,0.0035110230804318693
HP1,London Honor Oak Park,Urban Background,dlinear,24,3.504180330320061,0.03138255972317766,5.537371808503297,0.014436364716678394,46.497068670501086,0.6121070423039153,0.2634244367629067,0.00384339024252417
HP1,London Honor Oak Park,Urban Background,dlinear,48,3.7416886661091864,0.02251767813234719,5.96786540671925,0.032192629525350985,50.300599664317055,0.3946409666789436,0.12038659141749053,0.00949856011699989
HP1,London Honor Oak Park,Urban Background,hybrid,1,1.4856423228128548,0.0912576894783165,2.6638431036774826,0.13059213182190177,21.01508196103961,1.1524714573053394,0.8364837174998867,0.01591567042255449
HP1,London Honor Oak Park,Urban Background,hybrid,6,3.493750634854572,0.07060718336929969,5.680987319779064,0.1666896283805982,45.36629684512582,0.6580181192563009,0.25169610326739944,0.04445668496534349
HP1,London Honor Oak Park,Urban Background,hybrid,12,3.7553370974243294,0.05262087154102476,6.1880505375073875,0.14608748593837945,47.928076995837365,0.5708639548295291,0.0999937194412347,0.04204288148835405
