horizon,n,MAE,RMSE,sMAPE,R2,Bias,model,station_id,station_name,site_type,seed,epochs,train_start
1,11065,5.157587999611811,6.902995795926431,47.16073813401827,0.28540388622575297,1.031631037812399,hybrid_static,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
6,11065,5.972611744800845,7.895076869972905,52.24461897865043,0.0655533439036533,1.9230545292787298,hybrid_static,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
12,11065,5.930625055515545,8.108337068532412,52.30176174848281,0.013257688202017226,1.0268560777327835,hybrid_static,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
24,11065,5.4624360682869515,7.909629603287247,49.079715136930034,0.05870382820978193,-0.3420671779566419,hybrid_static,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
48,11065,5.868436589025018,8.194539808180508,51.70165899527435,-0.01014166784675985,0.6368815355019714,hybrid_static,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
1,11065,4.805591261953212,6.653779766173571,44.55486559413893,0.336070025364813,0.2673794940775356,hybrid,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
6,11065,5.3534247742472,7.4647697274713005,48.03402486862483,0.16463818601751967,0.6846964296079797,hybrid,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
12,11065,5.44954000153205,7.791787451779937,49.04195525004079,0.08879864481838795,0.08069329853053243,hybrid,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
24,11065,5.283358136843365,7.779843722051523,47.49723051272552,0.08934108062762558,-0.6491178148483454,hybrid,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
48,11065,5.581851133630328,8.059727806953486,49.54316380657412,0.02282151266577115,-0.04059331912821974,hybrid,MY1,London Marylebone Road,Urban Traffic,0,30,station_available_history
1,11065,2.9813827383184237,4.388762539797326,31.752749228943372,0.7111518442621014,-0.0017171259250675377,persistence,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
6,11065,4.778400361404161,6.8279009554679835,46.95545939180634,0.3010981116227509,0.007591504892826726,persistence,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
12,11065,5.471336044646975,7.989877708909433,51.295417786074296,0.041878850119470123,0.03262539553900838,persistence,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,persistence,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,persistence,MY1,London Marylebone Road,Urban Traffic,1,30,station_available_history
