,,,,,MAE,MAE,RMSE,RMSE,sMAPE,sMAPE,R2,R2
,,,,,mean,std,mean,std,mean,std,mean,std
station_id,station_name,site_type,model,horizon,,,,,,,,
BIR_A4540,Birmingham A4540,Urban Traffic,xgboost,48,4.80855724304471,0.04040797390261453,7.111042491360282,0.06263917491599054,53.91811355049581,0.29885901348804234,-0.022700586500037014,0.018014569555042256
CHB,Chilbolton,Rural Background,dlinear,1,1.0327156728316897,0.013541407203315176,1.8863301418679401,0.009979359737231812,16.88694091312616,0.37267553831677375,0.9104485129037787,0.000948767058255385
CHB,Chilbolton,Rural Background,dlinear,6,2.615927610838584,0.028849921965446234,4.17018170343012,0.037517393010869204,38.18269002315894,0.5098992058897167,0.5623723312429301,0.007909971989325014
CHB,Chilbolton,Rural Background,dlinear,12,3.1144335349912646,0.02135359736326662,4.954907718073141,0.013430302857990555,43.85171645626296,0.35077902334020766,0.38222729016586215,0.003345440036185496
CHB,Chilbolton,Rural Background,dlinear,24,3.510859760417445,0.015918895479461237,5.49289334565335,0.006530560983231068,48.646213769976335,0.30919389701132854,0.24100686883019443,0.0018034952660029985
CHB,Chilbolton,Rural Background,dlinear,48,3.7845794833516804,0.007831163954973084,5.919604144605765,0.028123623173483984,52.236299258918585,0.12426681050903463,0.11931270541337338,0.008354385217144406
CHB,Chilbolton,Rural Background,hybrid,1,3.1807149451949193,0.10363886515071452,4.582029962370449,0.1329650445901256,46.28532054186606,1.3297240003750164,0.47126751639585684,0.03058560864561112
CHB,Chilbolton,Rural Background,hybrid,6,4.268148133141613,0.26070786508940713,5.86664551104307,0.17028383158191113,57.631862692656114,2.8930464208248026,0.13335945508958572,0.051163572599528834
CHB,Chilbolton,Rural Background,hybrid,12,4.8808419011165896,0.4792698936148267,6.4621810721650395,0.3233559207120724,63.75562549597886,4.287981724626841,-0.05288834537796609,0.10665168964663918
CHB,Chilbolton,Rural Background,hybrid,24,4.900480272880379,0.3653886051724374,6.625986354627335,0.28237556312690615,63.99280560781919,3.2672344301223464,-0.10602930765104342,0.09477950058356281
CHB,Chilbolton,Rural Background,hybrid,48,4.725223649502023,0.39984587203379734,6.568603993804021,0.24492775901882718,62.78888553512379,3.3504379739455126,-0.08556919968783357,0.08136896761039986
CHB,Chilbolton,Rural Background,hybrid_static,1,3.4541799082451563,0.299215090837994,4.796505054376904,0.2211081663769651,49.54067697895511,3.4915189237010082,0.42001714233753357,0.053523792525059524
CHB,Chilbolton,Rural Background,hybrid_static,6,5.25811284345758,0.672712179130027,6.703610158586183,0.578809870136468,66.16686109571062,5.349146914614512,-0.1375399946147497,0.20343901629730207
CHB,Chilbolton,Rural Background,hybrid_static,12,6.313807663821967,1.1050057157709594,7.746832036225165,1.0002186608845676,73.91743710082244,7.043732870680201,-0.5302305100350206,0.40030144939117707
CHB,Chilbolton,Rural Background,hybrid_static,24,6.027672128406955,0.7377341580067055,7.597224650331444,0.6969269279950256,72.49018970914608,4.895346010896497,-0.4617022045709362,0.2756638198473595
CHB,Chilbolton,Rural Background,hybrid_static,48,5.590628442019119,0.8513098798094434,7.27353279441204,0.7024750557485819,69.89178802486987,5.4967579617176865,-0.3395165295746528,0.26667353139090805
CHB,Chilbolton,Rural Background,lstm,1,1.2549878276996975,0.07945849986581299,2.0529115766197563,0.07737335540929487,22.035445238988466,1.9324538467814198,0.8938154305936827,0.008019632828496711
CHB,Chilbolton,Rural Background,lstm,6,2.622532860122632,0.05696037808740553,4.174421991249988,0.049825941316484566,38.49915857111057,0.9571841318117745,0.5614603251288643,0.010455473509366308
CHB,Chilbolton,Rural Background,lstm,12,3.119733218333904,0.02626979434826932,5.029782107276324,0.08953031398141612,43.9094891118947,0.32272505538768986,0.3632580880148798,0.02267984661573527
