horizon,n,MAE,RMSE,sMAPE,R2,Bias,model,station_id,station_name,site_type,seed,epochs,train_start,method_version
1,11065,3.7968030102125643,5.3236417211125975,37.442861503260026,0.5749861603515577,0.004432903599451188,hybrid,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.741848909917686,6.979374687675529,43.384130271999396,0.26974453354103645,-0.48714288917561727,hybrid,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,4.995884816655642,7.463986004263184,45.04403952404882,0.16385461803967494,-0.6597009725190717,hybrid,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,5.0606084790278345,7.636220019557193,45.563953317162195,0.12265407066218093,-0.9161965152567058,hybrid,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,5.1355188553673665,7.7351541537622435,46.23491195917744,0.0999407623585673,-0.805205297601748,hybrid,MY1,London Marylebone Road,Urban Traffic,1,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,2.9813827383184237,4.388762539797326,31.752749228943372,0.7111518442621014,-0.0017171259250675377,persistence,MY1,London Marylebone Road,Urban Traffic,2,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.778400361404161,6.8279009554679835,46.95545939180634,0.3010981116227509,0.007591504892826726,persistence,MY1,London Marylebone Road,Urban Traffic,2,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,5.471336044646975,7.989877708909433,51.295417786074296,0.041878850119470123,0.03262539553900838,persistence,MY1,London Marylebone Road,Urban Traffic,2,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,persistence,MY1,London Marylebone Road,Urban Traffic,2,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,persistence,MY1,London Marylebone Road,Urban Traffic,2,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,5.7437867148137265,8.56810973258756,52.45292753258271,-0.10091926637902393,-0.049344780692351764,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,2,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,5.747446904601345,8.574967040425506,52.47661103384737,-0.10231751325583116,-0.03185720726261837,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,2,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,5.750248531352363,8.579176499788007,52.53387873594985,-0.10466696859443103,0.003840940048723698,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,2,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,5.7602801626221325,8.583260177276376,52.68552813127854,-0.10845624248704255,0.05255309549382085,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,2,30,2021-01-01 00:00:00+00:00,gated_residual_v2
48,11065,6.4935231211144515,9.646922536743785,57.1072552744158,-0.3999442132121813,0.08685042942965457,seasonal_naive,MY1,London Marylebone Road,Urban Traffic,2,30,2021-01-01 00:00:00+00:00,gated_residual_v2
1,11065,2.8730006968630315,4.066817301264305,29.89751835810159,0.7519754003927084,0.04194895325609854,xgboost,MY1,London Marylebone Road,Urban Traffic,2,30,2021-01-01 00:00:00+00:00,gated_residual_v2
6,11065,4.403991152350848,6.1817122870310355,41.310088740642435,0.427125667058612,0.487169265528906,xgboost,MY1,London Marylebone Road,Urban Traffic,2,30,2021-01-01 00:00:00+00:00,gated_residual_v2
12,11065,5.000470786904297,7.040027514039211,45.3085755461073,0.25614399104192376,0.5230878425274723,xgboost,MY1,London Marylebone Road,Urban Traffic,2,30,2021-01-01 00:00:00+00:00,gated_residual_v2
24,11065,5.206725146053498,7.399020503910118,47.04108648397865,0.17631252731952463,0.19071115307338196,xgboost,MY1,London Marylebone Road,Urban Traffic,2,30,2021-01-01 00:00:00+00:00,gated_residual_v2
