gap_id,start,end,hours,gap_class,inserted_rows
351,2019-06-25 08:00:00+00:00,2019-06-25 12:00:00+00:00,5,medium_4_24h,0
561,2020-07-01 12:00:00+00:00,2020-07-01 16:00:00+00:00,5,medium_4_24h,0
25,2016-05-11 03:00:00+00:00,2016-05-11 06:00:00+00:00,4,medium_4_24h,0
211,2018-12-09 03:00:00+00:00,2018-12-09 06:00:00+00:00,4,medium_4_24h,0
235,2019-01-02 09:00:00+00:00,2019-01-02 12:00:00+00:00,4,medium_4_24h,0
245,2019-02-14 11:00:00+00:00,2019-02-14 14:00:00+00:00,4,medium_4_24h,0
479,2020-02-16 00:00:00+00:00,2020-02-16 03:00:00+00:00,4,medium_4_24h,0
537,2020-04-16 10:00:00+00:00,2020-04-16 13:00:00+00:00,4,medium_4_24h,0
817,2023-12-05 13:00:00+00:00,2023-12-05 16:00:00+00:00,4,medium_4_24h,0
831,2024-01-08 10:00:00+00:00,2024-01-08 13:00:00+00:00,4,medium_4_24h,0
953,2024-12-05 05:00:00+00:00,2024-12-05 08:00:00+00:00,4,medium_4_24h,0
1065,2025-07-22 11:00:00+00:00,2025-07-22 14:00:00+00:00,4,medium_4_24h,0
1127,2025-09-23 21:00:00+00:00,2025-09-24 00:00:00+00:00,4,medium_4_24h,0
5,2016-01-22 10:00:00+00:00,2016-01-22 12:00:00+00:00,3,short_1_3h,0
11,2016-02-01 23:00:00+00:00,2016-02-02 01:00:00+00:00,3,short_1_3h,0
27,2016-06-09 11:00:00+00:00,2016-06-09 13:00:00+00:00,3,short_1_3h,0
33,2016-06-28 09:00:00+00:00,2016-06-28 11:00:00+00:00,3,short_1_3h,0
67,2017-01-17 11:00:00+00:00,2017-01-17 13:00:00+00:00,3,short_1_3h,0
69,2017-01-25 15:00:00+00:00,2017-01-25 17:00:00+00:00,3,short_1_3h,0
93,2017-07-27 12:00:00+00:00,2017-07-27 14:00:00+00:00,3,short_1_3h,0
203,2018-09-27 11:00:00+00:00,2018-09-27 13:00:00+00:00,3,short_1_3h,0
223,2018-12-13 13:00:00+00:00,2018-12-13 15:00:00+00:00,3,short_1_3h,0
229,2018-12-15 19:00:00+00:00,2018-12-15 21:00:00+00:00,3,short_1_3h,0
269,2019-04-14 17:00:00+00:00,2019-04-14 19:00:00+00:00,3,short_1_3h,0
271,2019-04-21 18:00:00+00:00,2019-04-21 20:00:00+00:00,3,short_1_3h,0
319,2019-05-26 15:00:00+00:00,2019-05-26 17:00:00+00:00,3,short_1_3h,0
345,2019-06-05 13:00:00+00:00,2019-06-05 15:00:00+00:00,3,short_1_3h,0
347,2019-06-07 14:00:00+00:00,2019-06-07 16:00:00+00:00,3,short_1_3h,0
433,2019-12-15 02:00:00+00:00,2019-12-15 04:00:00+00:00,3,short_1_3h,0
465,2020-02-09 07:00:00+00:00,2020-02-09 09:00:00+00:00,3,short_1_3h,0
591,2021-01-19 13:00:00+00:00,2021-01-19 15:00:00+00:00,3,short_1_3h,0
663,2022-02-16 11:00:00+00:00,2022-02-16 13:00:00+00:00,3,short_1_3h,0
693,2022-08-03 09:00:00+00:00,2022-08-03 11:00:00+00:00,3,short_1_3h,0
697,2022-08-10 12:00:00+00:00,2022-08-10 14:00:00+00:00,3,short_1_3h,0
727,2022-12-07 13:00:00+00:00,2022-12-07 15:00:00+00:00,3,short_1_3h,0
751,2023-03-22 12:00:00+00:00,2023-03-22 14:00:00+00:00,3,short_1_3h,0
755,2023-04-12 10:00:00+00:00,2023-04-12 12:00:00+00:00,3,short_1_3h,0
849,2024-03-13 13:00:00+00:00,2024-03-13 15:00:00+00:00,3,short_1_3h,0
915,2024-09-09 03:00:00+00:00,2024-09-09 05:00:00+00:00,3,short_1_3h,0
993,2025-02-19 12:00:00+00:00,2025-02-19 14:00:00+00:00,3,short_1_3h,0
1095,2025-08-27 11:00:00+00:00,2025-08-27 13:00:00+00:00,3,short_1_3h,0
1107,2025-09-17 10:00:00+00:00,2025-09-17 12:00:00+00:00,3,short_1_3h,0
1121,2025-09-21 04:00:00+00:00,2025-09-21 06:00:00+00:00,3,short_1_3h,0
1129,2025-09-24 04:00:00+00:00,2025-09-24 06:00:00+00:00,3,short_1_3h,0
1155,2025-10-25 23:00:00+00:00,2025-10-26 01:00:00+00:00,3,short_1_3h,0
1181,2025-12-03 12:00:00+00:00,2025-12-03 14:00:00+00:00,3,short_1_3h,0
51,2016-09-15 11:00:00+00:00,2016-09-15 12:00:00+00:00,2,short_1_3h,0
77,2017-03-07 22:00:00+00:00,2017-03-07 23:00:00+00:00,2,short_1_3h,0
81,2017-03-22 14:00:00+00:00,2017-03-22 15:00:00+00:00,2,short_1_3h,0
87,2017-04-25 08:00:00+00:00,2017-04-25 09:00:00+00:00,2,short_1_3h,0
97,2017-09-20 11:00:00+00:00,2017-09-20 12:00:00+00:00,2,short_1_3h,0
109,2017-11-29 15:00:00+00:00,2017-11-29 16:00:00+00:00,2,short_1_3h,0
115,2017-12-17 02:00:00+00:00,2017-12-17 03:00:00+00:00,2,short_1_3h,0
137,2018-02-22 21:00:00+00:00,2018-02-22 22:00:00+00:00,2,short_1_3h,0
153,2018-04-02 01:00:00+00:00,2018-04-02 02:00:00+00:00,2,short_1_3h,0
157,2018-04-19 12:00:00+00:00,2018-04-19 13:00:00+00:00,2,short_1_3h,0
217,2018-12-11 11:00:00+00:00,2018-12-11 12:00:00+00:00,2,short_1_3h,0
247,2019-02-25 17:00:00+00:00,2019-02-25 18:00:00+00:00,2,short_1_3h,0
249,2019-02-25 20:00:00+00:00,2019-02-25 21:00:00+00:00,2,short_1_3h,0
263,2019-04-13 16:00:00+00:00,2019-04-13 17:00:00+00:00,2,short_1_3h,0
265,2019-04-13 20:00:00+00:00,2019-04-13 21:00:00+00:00,2,short_1_3h,0
267,2019-04-14 14:00:00+00:00,2019-04-14 15:00:00+00:00,2,short_1_3h,0
283,2019-05-04 12:00:00+00:00,2019-05-04 13:00:00+00:00,2,short_1_3h,0
285,2019-05-04 17:00:00+00:00,2019-05-04 18:00:00+00:00,2,short_1_3h,0
289,2019-05-05 17:00:00+00:00,2019-05-05 18:00:00+00:00,2,short_1_3h,0
301,2019-05-07 19:00:00+00:00,2019-05-07 20:00:00+00:00,2,short_1_3h,0
311,2019-05-22 14:00:00+00:00,2019-05-22 15:00:00+00:00,2,short_1_3h,0
329,2019-05-31 19:00:00+00:00,2019-05-31 20:00:00+00:00,2,short_1_3h,0
363,2019-07-17 10:00:00+00:00,2019-07-17 11:00:00+00:00,2,short_1_3h,0
373,2019-07-28 11:00:00+00:00,2019-07-28 12:00:00+00:00,2,short_1_3h,0
429,2019-12-13 03:00:00+00:00,2019-12-13 04:00:00+00:00,2,short_1_3h,0
449,2020-01-15 04:00:00+00:00,2020-01-15 05:00:00+00:00,2,short_1_3h,0
459,2020-02-01 03:00:00+00:00,2020-02-01 04:00:00+00:00,2,short_1_3h,0
467,2020-02-09 14:00:00+00:00,2020-02-09 15:00:00+00:00,2,short_1_3h,0
497,2020-02-23 18:00:00+00:00,2020-02-23 19:00:00+00:00,2,short_1_3h,0
509,2020-03-02 04:00:00+00:00,2020-03-02 05:00:00+00:00,2,short_1_3h,0
517,2020-03-11 03:00:00+00:00,2020-03-11 04:00:00+00:00,2,short_1_3h,0
545,2020-05-10 16:00:00+00:00,2020-05-10 17:00:00+00:00,2,short_1_3h,0
553,2020-06-05 14:00:00+00:00,2020-06-05 15:00:00+00:00,2,short_1_3h,0
557,2020-06-29 13:00:00+00:00,2020-06-29 14:00:00+00:00,2,short_1_3h,0
569,2020-07-10 04:00:00+00:00,2020-07-10 05:00:00+00:00,2,short_1_3h,0
593,2021-01-21 00:00:00+00:00,2021-01-21 01:00:00+00:00,2,short_1_3h,0
623,2021-04-29 11:00:00+00:00,2021-04-29 12:00:00+00:00,2,short_1_3h,0
631,2021-05-12 11:00:00+00:00,2021-05-12 12:00:00+00:00,2,short_1_3h,0
643,2021-08-18 09:00:00+00:00,2021-08-18 10:00:00+00:00,2,short_1_3h,0
671,2022-03-16 10:00:00+00:00,2022-03-16 11:00:00+00:00,2,short_1_3h,0
675,2022-04-13 11:00:00+00:00,2022-04-13 12:00:00+00:00,2,short_1_3h,0
679,2022-05-11 11:00:00+00:00,2022-05-11 12:00:00+00:00,2,short_1_3h,0
689,2022-07-06 10:00:00+00:00,2022-07-06 11:00:00+00:00,2,short_1_3h,0
699,2022-08-17 11:00:00+00:00,2022-08-17 12:00:00+00:00,2,short_1_3h,0
705,2022-09-14 10:00:00+00:00,2022-09-14 11:00:00+00:00,2,short_1_3h,0
709,2022-09-28 12:00:00+00:00,2022-09-28 13:00:00+00:00,2,short_1_3h,0
711,2022-10-06 12:00:00+00:00,2022-10-06 13:00:00+00:00,2,short_1_3h,0
713,2022-10-12 12:00:00+00:00,2022-10-12 13:00:00+00:00,2,short_1_3h,0
717,2022-10-26 11:00:00+00:00,2022-10-26 12:00:00+00:00,2,short_1_3h,0
729,2022-12-21 11:00:00+00:00,2022-12-21 12:00:00+00:00,2,short_1_3h,0
749,2023-03-15 12:00:00+00:00,2023-03-15 13:00:00+00:00,2,short_1_3h,0
753,2023-03-29 08:00:00+00:00,2023-03-29 09:00:00+00:00,2,short_1_3h,0
759,2023-04-26 09:00:00+00:00,2023-04-26 10:00:00+00:00,2,short_1_3h,0
763,2023-05-24 15:00:00+00:00,2023-05-24 16:00:00+00:00,2,short_1_3h,0
765,2023-05-31 14:00:00+00:00,2023-05-31 15:00:00+00:00,2,short_1_3h,0
767,2023-06-07 08:00:00+00:00,2023-06-07 09:00:00+00:00,2,short_1_3h,0
771,2023-07-05 11:00:00+00:00,2023-07-05 12:00:00+00:00,2,short_1_3h,0
